Origin,Solution,First,Second
магистерство,1,стигма,евро
магистерство,2,"метис, семит",овраг
магистерство,3,тигр,самосев
магистерство,4,стигма,евро
магистерство,5,"метис, семит",овраг
магистерство,6,"метис, семит",овраг
магистерство,7,тигр,самосев
магистерство,8,"метис, семит",овраг
магистерство,9,"верста, стерва",гоми
магистерство,10,"верста, стерва",гоми
магистерство,11,рассвет,гоми
магистерство,12,"верста, стерва",гоми
магистерство,13,"верста, стерва",гоми
магистерство,14,рассвет,гоми
магистерство,15,мост,верига
магистерство,16,место,грива
магистерство,17,мост,верига
магистерство,18,место,грива
магистерство,19,место,грива
магистерство,20,место,грива
магистерство,21,ворс,гематит
магистерство,22,тревога,мисс
магистерство,23,гаерство,ми
магистерство,24,ворс,гематит
магистерство,25,гаерство,ми
магистерство,26,тревога,мисс
магистерство,27,гаерство,ми
магистерство,28,гаерство,ми
магистр,1,"гам, маг, мга",тирс
магистр,2,сам,тигр
магистр,3,сиг,март
магистр,4,гит,"марс, рамс, срам"
магистр,5,"марс, рамс, срам",гит
магистр,6,март,сиг
магистр,7,тигр,сам
магистр,8,тирс,"гам, маг, мга"
магистраль,1,астма,гриль
магистраль,2,"матрас, сармат",гиль
магистраль,3,марь,глист
магистраль,4,марь,глист
магистраль,5,гиль,"матрас, сармат"
магистраль,6,сталь,грим
магистраль,7,гриль,астма
магистраль,8,сталь,грим
магистранство,1,тис,мангрова
магистранство,2,"гимнаст, нистагм","вор, ров"
магистранство,3,"гимнаст, нистагм","вор, ров"
магистранство,4,синтагма,"вор, ров"
магистранство,5,тис,мангрова
магистранство,6,"гимнаст, нистагм","вор, ров"
магистранство,7,"гимнаст, нистагм","вор, ров"
магистранство,8,синтагма,"вор, ров"
магистранство,9,"гимнаст, нистагм","вор, ров"
магистранство,10,"гимнаст, нистагм","вор, ров"
магистранство,11,синтагма,"вор, ров"
магистранство,12,"гимнаст, нистагм","вор, ров"
магистранство,13,"гимнаст, нистагм","вор, ров"
магистранство,14,синтагма,"вор, ров"
магистранство,15,аргонавт,мисс
магистранство,16,аргонавт,мисс
магистрант,1,тигр,саман
магистрант,2,астма,ринг
магистрант,3,астра,гимн
магистрант,4,"наст, стан",грим
магистрант,5,транс,миг
магистрант,6,магнат,"рис, сир"
магистрант,7,"наст, стан",грим
магистрант,8,транс,миг
магистрант,9,страна,миг
магистрант,10,тигр,саман
магистрант,11,старт,гимн
магистрант,12,астма,ринг
магистрант,13,астра,гимн
магистрант,14,старт,гимн
магистрант,15,"наст, стан",грим
магистрант,16,транс,миг
магистрант,17,магнат,"рис, сир"
магистрант,18,"наст, стан",грим
магистрант,19,транс,миг
магистрант,20,страна,миг
магистрат,1,грим,астат
магистрат,2,март,сиг
магистрат,3,"мирт, ритм",сага
магистрат,4,тигр,"саам, сама"
магистрат,5,тамга,"рис, сир"
магистрат,6,атас,грим
магистрат,7,март,сиг
магистрат,8,астра,миг
магистрат,9,март,сиг
магистрат,10,"мирт, ритм",сага
магистрат,11,тигр,"саам, сама"
магистрат,12,старт,миг
магистрат,13,тамга,"рис, сир"
магистрат,14,атас,грим
магистрат,15,астат,грим
магистрат,16,март,сиг
магистрат,17,астра,миг
магистрат,18,старт,миг
магистратура,1,гримаса,тут
магистратура,2,гастрит,"му, ум"
магистратура,3,гастрит,"му, ум"
магистратура,4,трагус,ми
магистратура,5,трагус,ми
магистратура,6,трагус,ми
магистратура,7,турист,агама
магистратура,8,трагус,ми
магистратура,9,гримаса,тут
магистратура,10,гастрит,"му, ум"
магистратура,11,гастрит,"му, ум"
магистратура,12,трагус,ми
магистратура,13,трагус,ми
магистратура,14,турист,агама
магистратура,15,трагус,ми
магистратура,16,гримаса,тут
магистратура,17,гастрит,"му, ум"
магистратура,18,трагус,ми
магистратура,19,трагус,ми
магистратура,20,гримаса,тут
магистратура,21,гастрит,"му, ум"
магистратура,22,трагус,ми
магистратура,23,арматура,сиг
магистратура,24,арматура,сиг
магичность,1,стигма,ночь
магичность,2,ночь,стигма
